location: (0,23) measurement number:1 | max [V]: 0.020800000056624413 | min [V]: -0.01679999940097332 | RMS [v]: 0.004579564556479454
location: (0,23) measurement number:2 | max [V]: 0.013599999248981476 | min [V]: -0.01679999940097332 | RMS [v]: 0.0044035837054252625
location: (0,23) measurement number:3 | max [V]: 0.01679999940097332 | min [V]: -0.015199999324977398 | RMS [v]: 0.004430382512509823
location: (0,23) measurement number:4 | max [V]: 0.012000000104308128 | min [V]: -0.01679999940097332 | RMS [v]: 0.004073398187756538
location: (0,24) measurement number:0 | max [V]: 0.013599999248981476 | min [V]: -0.01679999940097332 | RMS [v]: 0.004537558648735285
location: (0,24) measurement number:1 | max [V]: 0.01759999990463257 | min [V]: -0.01679999940097332 | RMS [v]: 0.004332271404564381
location: (0,24) measurement number:2 | max [V]: 0.01759999990463257 | min [V]: -0.013599999248981476 | RMS [v]: 0.003927934914827347
location: (0,24) measurement number:3 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.004399992525577545
location: (0,24) measurement number:4 | max [V]: 0.013599999248981476 | min [V]: -0.015199999324977398 | RMS [v]: 0.004433573689311743
location: (0,25) measurement number:0 | max [V]: 0.01679999940097332 | min [V]: -0.01759999990463257 | RMS [v]: 0.004590954165905714
location: (0,25) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.019199999049305916 | RMS [v]: 0.004727356601506472
location: (0,25) measurement number:2 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.0045269327238202095
location: (0,25) measurement number:3 | max [V]: 0.013599999248981476 | min [V]: -0.01599999889731407 | RMS [v]: 0.00444821547716856
location: (0,25) measurement number:4 | max [V]: 0.012799999676644802 | min [V]: -0.015199999324977398 | RMS [v]: 0.004002583213150501
location: (0,26) measurement number:0 | max [V]: 0.018400000408291817 | min [V]: -0.01599999889731407 | RMS [v]: 0.004378339275717735
location: (0,26) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.01759999990463257 | RMS [v]: 0.0051116179674863815
location: (0,26) measurement number:2 | max [V]: 0.015199999324977398 | min [V]: -0.015199999324977398 | RMS [v]: 0.004343315027654171
location: (0,26) measurement number:3 | max [V]: 0.01679999940097332 | min [V]: -0.01679999940097332 | RMS [v]: 0.004616318736225367
location: (0,26) measurement number:4 | max [V]: 0.01679999940097332 | min [V]: -0.01759999990463257 | RMS [v]: 0.00491121131926775
location: (0,27) measurement number:0 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.004730598069727421
location: (0,27) measurement number:1 | max [V]: 0.018400000408291817 | min [V]: -0.01679999940097332 | RMS [v]: 0.004796445369720459
location: (0,27) measurement number:2 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.0047848159447312355
location: (0,27) measurement number:3 | max [V]: 0.019999999552965164 | min [V]: -0.018400000408291817 | RMS [v]: 0.005824851803481579
location: (0,27) measurement number:4 | max [V]: 0.015199999324977398 | min [V]: -0.020800000056624413 | RMS [v]: 0.0051511237397789955
location: (0,28) measurement number:0 | max [V]: 0.018400000408291817 | min [V]: -0.01759999990463257 | RMS [v]: 0.005101265851408243
location: (0,28) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.01759999990463257 | RMS [v]: 0.005095466040074825
location: (0,28) measurement number:2 | max [V]: 0.01599999889731407 | min [V]: -0.019999999552965164 | RMS [v]: 0.005088540725409985
location: (0,28) measurement number:3 | max [V]: 0.014399999752640724 | min [V]: -0.019999999552965164 | RMS [v]: 0.005377565044909716
location: (0,28) measurement number:4 | max [V]: 0.019999999552965164 | min [V]: -0.02239999920129776 | RMS [v]: 0.005692307371646166
location: (0,29) measurement number:0 | max [V]: 0.020800000056624413 | min [V]: -0.02159999869763851 | RMS [v]: 0.005973605904728174
location: (0,29) measurement number:1 | max [V]: 0.020800000056624413 | min [V]: -0.02239999920129776 | RMS [v]: 0.005552628077566624
location: (0,29) measurement number:2 | max [V]: 0.01679999940097332 | min [V]: -0.019199999049305916 | RMS [v]: 0.005192123353481293
location: (0,29) measurement number:3 | max [V]: 0.019199999049305916 | min [V]: -0.019199999049305916 | RMS [v]: 0.0053652687929570675
location: (0,29) measurement number:4 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.004663800820708275
location: (0,30) measurement number:0 | max [V]: 0.02159999869763851 | min [V]: -0.019199999049305916 | RMS [v]: 0.005254928022623062
location: (0,30) measurement number:1 | max [V]: 0.01679999940097332 | min [V]: -0.01759999990463257 | RMS [v]: 0.005055778194218874
location: (0,30) measurement number:2 | max [V]: 0.019199999049305916 | min [V]: -0.01599999889731407 | RMS [v]: 0.004755581263452768
location: (0,30) measurement number:3 | max [V]: 0.02319999970495701 | min [V]: -0.01599999889731407 | RMS [v]: 0.004585409536957741
location: (0,30) measurement number:4 | max [V]: 0.01759999990463257 | min [V]: -0.015199999324977398 | RMS [v]: 0.004657422192394733
location: (0,31) measurement number:0 | max [V]: 0.019199999049305916 | min [V]: -0.01759999990463257 | RMS [v]: 0.005002431105822325
location: (0,31) measurement number:1 | max [V]: 0.02159999869763851 | min [V]: -0.01599999889731407 | RMS [v]: 0.004858845844864845
location: (0,31) measurement number:2 | max [V]: 0.015199999324977398 | min [V]: -0.01599999889731407 | RMS [v]: 0.004108262713998556
location: (0,31) measurement number:3 | max [V]: 0.014399999752640724 | min [V]: -0.014399999752640724 | RMS [v]: 0.004122740589082241
location: (0,31) measurement number:4 | max [V]: 0.014399999752640724 | min [V]: -0.012000000104308128 | RMS [v]: 0.003858156967908144
location: (0,32) measurement number:0 | max [V]: 0.01599999889731407 | min [V]: -0.015199999324977398 | RMS [v]: 0.0041858428157866
location: (0,32) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.018400000408291817 | RMS [v]: 0.0041283718310296535
location: (0,32) measurement number:2 | max [V]: 0.012799999676644802 | min [V]: -0.01759999990463257 | RMS [v]: 0.004341885447502136
location: (0,32) measurement number:3 | max [V]: 0.015199999324977398 | min [V]: -0.015199999324977398 | RMS [v]: 0.00422634044662118
location: (0,32) measurement number:4 | max [V]: 0.01759999990463257 | min [V]: -0.015199999324977398 | RMS [v]: 0.004357106983661652
location: (0,33) measurement number:0 | max [V]: 0.01759999990463257 | min [V]: -0.012799999676644802 | RMS [v]: 0.0038131559267640114
location: (0,33) measurement number:1 | max [V]: 0.01679999940097332 | min [V]: -0.013599999248981476 | RMS [v]: 0.003860230091959238
location: (0,33) measurement number:2 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.004205238539725542
location: (0,33) measurement number:3 | max [V]: 0.019999999552965164 | min [V]: -0.014399999752640724 | RMS [v]: 0.0043417965061962605
location: (0,33) measurement number:4 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.004285543691366911
location: (0,34) measurement number:0 | max [V]: 0.01599999889731407 | min [V]: -0.015199999324977398 | RMS [v]: 0.004177838563919067
location: (0,34) measurement number:1 | max [V]: 0.01679999940097332 | min [V]: -0.014399999752640724 | RMS [v]: 0.003259320044890046
location: (0,34) measurement number:2 | max [V]: 0.012799999676644802 | min [V]: -0.012799999676644802 | RMS [v]: 0.0032275314442813396
location: (0,34) measurement number:3 | max [V]: 0.013599999248981476 | min [V]: -0.014399999752640724 | RMS [v]: 0.00411827489733696
location: (0,34) measurement number:4 | max [V]: 0.015199999324977398 | min [V]: -0.015199999324977398 | RMS [v]: 0.00426381966099143
location: (0,35) measurement number:0 | max [V]: 0.015199999324977398 | min [V]: -0.019199999049305916 | RMS [v]: 0.00425056042149663
location: (0,35) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.004140152595937252
location: (0,35) measurement number:2 | max [V]: 0.013599999248981476 | min [V]: -0.015199999324977398 | RMS [v]: 0.004060486331582069
location: (0,35) measurement number:3 | max [V]: 0.012799999676644802 | min [V]: -0.01759999990463257 | RMS [v]: 0.004243025090545416
location: (0,35) measurement number:4 | max [V]: 0.015199999324977398 | min [V]: -0.014399999752640724 | RMS [v]: 0.004716473165899515
location: (0,36) measurement number:0 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.004627970512956381
location: (0,36) measurement number:1 | max [V]: 0.01599999889731407 | min [V]: -0.01679999940097332 | RMS [v]: 0.0047798845916986465
location: (0,36) measurement number:2 | max [V]: 0.018400000408291817 | min [V]: -0.015199999324977398 | RMS [v]: 0.004611602518707514
location: (0,36) measurement number:3 | max [V]: 0.018400000408291817 | min [V]: -0.015199999324977398 | RMS [v]: 0.004323946312069893
location: (0,36) measurement number:4 | max [V]: 0.013599999248981476 | min [V]: -0.013599999248981476 | RMS [v]: 0.004413818009197712
location: (0,37) measurement number:0 | max [V]: 0.020800000056624413 | min [V]: -0.01599999889731407 | RMS [v]: 0.00485451053828001
location: (0,37) measurement number:1 | max [V]: 0.018400000408291817 | min [V]: -0.01759999990463257 | RMS [v]: 0.00454704137519002
location: (0,37) measurement number:2 | max [V]: 0.020800000056624413 | min [V]: -0.01599999889731407 | RMS [v]: 0.0045655472204089165
location: (0,37) measurement number:3 | max [V]: 0.015199999324977398 | min [V]: -0.019199999049305916 | RMS [v]: 0.004332788288593292
location: (0,37) measurement number:4 | max [V]: 0.012000000104308128 | min [V]: -0.015199999324977398 | RMS [v]: 0.0039015235379338264
location: (0,38) measurement number:0 | max [V]: 0.014399999752640724 | min [V]: -0.01599999889731407 | RMS [v]: 0.004293347243219614
location: (0,38) measurement number:1 | max [V]: 0.013599999248981476 | min [V]: -0.013599999248981476 | RMS [v]: 0.0040513742715120316
location: (0,38) measurement number:2 | max [V]: 0.014399999752640724 | min [V]: -0.01759999990463257 | RMS [v]: 0.0047374386340379715
location: (0,38) measurement number:3 | max [V]: 0.01679999940097332 | min [V]: -0.01679999940097332 | RMS [v]: 0.004452795721590519
location: (0,38) measurement number:4 | max [V]: 0.012799999676644802 | min [V]: -0.013599999248981476 | RMS [v]: 0.0041110580787062645
location: (0,39) measurement number:0 | max [V]: 0.015199999324977398 | min [V]: -0.01679999940097332 | RMS [v]: 0.005015317350625992
location: (0,39) measurement number:1 | max [V]: 0.018400000408291817 | min [V]: -0.018400000408291817 | RMS [v]: 0.005036290735006332
location: (0,39) measurement number:2 | max [V]: 0.01679999940097332 | min [V]: -0.01759999990463257 | RMS [v]: 0.004360594321042299
location: (0,39) measurement number:3 | max [V]: 0.014399999752640724 | min [V]: -0.01679999940097332 | RMS [v]: 0.004561010282486677
location: (0,39) measurement number:4 | max [V]: 0.01679999940097332 | min [V]: -0.014399999752640724 | RMS [v]: 0.004327607806771994
location: (0,40) measurement number:0 | max [V]: 0.01759999990463257 | min [V]: -0.01599999889731407 | RMS [v]: 0.004966357257217169
location: (0,40) measurement number:1 | max [V]: 0.01759999990463257 | min [V]: -0.01599999889731407 | RMS [v]: 0.004431277979165316
location: (0,40) measurement number:2 | max [V]: 0.018400000408291817 | min [V]: -0.01599999889731407 | RMS [v]: 0.005070756655186415
location: (0,40) measurement number:3 | max [V]: 0.01679999940097332 | min [V]: -0.015199999324977398 | RMS [v]: 0.004917690064758062
location: (0,40) measurement number:4 | max [V]: 0.014399999752640724 | min [V]: -0.018400000408291817 | RMS [v]: 0.004998841322958469
location: (0,41) measurement number:0 | max [V]: 0.01679999940097332 | min [V]: -0.01679999940097332 | RMS [v]: 0.00471952510997653
location: (0,41) measurement number:1 | max [V]: 0.014399999752640724 | min [V]: -0.01679999940097332 | RMS [v]: 0.004386801738291979
location: (0,41) measurement number:2 | max [V]: 0.012799999676644802 | min [V]: -0.013599999248981476 | RMS [v]: 0.004351294133812189
location: (0,41) measurement number:3 | max [V]: 0.014399999752640724 | min [V]: -0.01679999940097332 | RMS [v]: 0.004284647759050131
location: (0,41) measurement number:4 | max [V]: 0.01679999940097332 | min [V]: -0.018400000408291817 | RMS [v]: 0.005161704961210489
location: (0,42) measurement number:0 | max [V]: 0.01759999990463257 | min [V]: -0.01759999990463257 | RMS [v]: 0.005396081600338221
location: (0,42) measurement number:1 | max [V]: 0.019999999552965164 | min [V]: -0.019999999552965164 | RMS [v]: 0.0056905196979641914
location: (0,42) measurement number:2 | max [V]: 0.01759999990463257 | min [V]: -0.020800000056624413 | RMS [v]: 0.006124918349087238
location: (0,42) measurement number:3 | max [V]: 0.018400000408291817 | min [V]: -0.01759999990463257 | RMS [v]: 0.005672394763678312
location: (0,42) measurement number:4 | max [V]: 0.019199999049305916 | min [V]: -0.01759999990463257 | RMS [v]: 0.00605703005567193
location: (0,43) measurement number:0 | max [V]: 0.020800000056624413 | min [V]: -0.019999999552965164 | RMS [v]: 0.005885004531592131
location: (0,43) measurement number:1 | max [V]: 0.02719999849796295 | min [V]: -0.020800000056624413 | RMS [v]: 0.006955727003514767
location: (0,43) measurement number:2 | max [V]: 0.018400000408291817 | min [V]: -0.019999999552965164 | RMS [v]: 0.006190681830048561
